flightDate,count
2022-04-17,8258
2022-04-18,16524
2022-04-19,30702
2022-04-20,41078
2022-04-21,45888
2022-04-22,53384
2022-04-23,53475
2022-04-24,51930
2022-04-25,70168
2022-04-26,107712
2022-04-27,102229
2022-04-28,101540
2022-04-29,112189
2022-04-30,123879
2022-05-01,105944
2022-05-02,138706
2022-05-03,179013
2022-05-04,176742
2022-05-05,170705
2022-05-06,181404
2022-05-07,187773
2022-05-08,174981
2022-05-09,208011
2022-05-10,246870
2022-05-11,237443
2022-05-12,222788
2022-05-13,229588
2022-05-14,216859
2022-05-15,205747
2022-05-16,248930
2022-05-17,275708
2022-05-18,269886
2022-05-19,270504
2022-05-20,263941
2022-05-21,259633
2022-05-22,238146
2022-05-23,294222
2022-05-24,327602
2022-05-25,307673
2022-05-26,299345
2022-05-27,299056
2022-05-28,284236
2022-05-29,314704
2022-05-30,285599
2022-05-31,318538
2022-06-01,358789
2022-06-02,365266
2022-06-03,344169
2022-06-04,315409
2022-06-05,318822
2022-06-06,379960
2022-06-07,404577
2022-06-08,397712
2022-06-09,391287
2022-06-10,384974
2022-06-11,330170
2022-06-12,341450
2022-06-13,397098
2022-06-14,422133
2022-06-15,418216
2022-06-16,432598
2022-06-17,423523
2022-06-18,364509
2022-06-19,376643
2022-06-20,418443
2022-06-21,435933
2022-06-22,440107
2022-06-23,432903
2022-06-24,421893
2022-06-25,367053
2022-06-26,385923
2022-06-27,431858
2022-06-28,440318
2022-06-29,430451
2022-06-30,402746
2022-07-01,394473
2022-07-02,340906
2022-07-03,382067
2022-07-04,425081
2022-07-05,401524
2022-07-06,422800
2022-07-07,420522
2022-07-08,424988
2022-07-09,356760
2022-07-10,379717
2022-07-11,439109
2022-07-12,462805
2022-07-13,438231
2022-07-14,437002
2022-07-15,427486
2022-07-16,381941
2022-07-17,410422
2022-07-18,453057
2022-07-19,487257
2022-07-20,483402
2022-07-21,460599
2022-07-22,456563
2022-07-23,403027
2022-07-24,435199
2022-07-25,479876
2022-07-26,518302
2022-07-27,497786
2022-07-28,493065
2022-07-29,488568
2022-07-30,429675
2022-07-31,460680
2022-08-01,524783
2022-08-02,565436
2022-08-03,550936
2022-08-04,530535
2022-08-05,535165
2022-08-06,451458
2022-08-07,488354
2022-08-08,561599
2022-08-09,624201
2022-08-10,595533
2022-08-11,566176
2022-08-12,552585
2022-08-13,471477
2022-08-14,482446
2022-08-15,549377
2022-08-16,600783
2022-08-17,594400
2022-08-18,540103
2022-08-19,541485
2022-08-20,498225
2022-08-21,488946
2022-08-22,581864
2022-08-23,666408
2022-08-24,658937
2022-08-25,624789
2022-08-26,623255
2022-08-27,597878
2022-08-28,559580
2022-08-29,654670
2022-08-30,729117
2022-08-31,667996
2022-09-01,611926
2022-09-02,580933
2022-09-03,529981
2022-09-04,569589
2022-09-05,522445
2022-09-06,613194
2022-09-07,695010
2022-09-08,671131
2022-09-09,629272
2022-09-10,589176
2022-09-11,519858
2022-09-12,608266
2022-09-13,690912
2022-09-14,636895
2022-09-15,562568
2022-09-16,555526
2022-09-17,546966
2022-09-18,458864
2022-09-19,560064
2022-09-20,655025
2022-09-21,612786
2022-09-22,551560
2022-09-23,548305
2022-09-24,535943
2022-09-25,447702
2022-09-26,534214
2022-09-27,612244
2022-09-28,578797
2022-09-29,539777
2022-09-30,516288
2022-10-01,502295
2022-10-02,449979
2022-10-03,553907
2022-10-04,632812
2022-10-05,575318
2022-10-06,478099
2022-10-07,430297
2022-10-08,427338
2022-10-09,348812
2022-10-10,349052
2022-10-11,383482
2022-10-12,375311
2022-10-13,350969
2022-10-14,347949
2022-10-15,341990
2022-10-16,279762
2022-10-17,345654
2022-10-18,387647
2022-10-19,349577
2022-10-20,326919
2022-10-21,322804
2022-10-22,302848
2022-10-23,224970
2022-10-24,271282
2022-10-25,300383
2022-10-26,283936
2022-10-27,261263
2022-10-28,228534
2022-10-29,214004
2022-10-30,182202
2022-10-31,215276
2022-11-01,245046
2022-11-02,242834
2022-11-03,216569
2022-11-04,203850
2022-11-05,198866
2022-11-06,169317
2022-11-07,191066
2022-11-08,192926
2022-11-09,163771
2022-11-10,133371
2022-11-11,101269
2022-11-12,80676
2022-11-13,56613
2022-11-14,65386
2022-11-15,73118
2022-11-16,62785
2022-11-17,47335
2022-11-18,36571
2022-11-19,21923
