searchDate,count
2022-04-16,87657
2022-04-17,536269
2022-04-18,457449
2022-04-19,526764
2022-04-20,331144
2022-04-21,522447
2022-04-22,511658
2022-04-23,524379
2022-04-24,232588
2022-04-25,529018
2022-04-26,301682
2022-04-27,462260
2022-04-28,530492
2022-04-29,531353
2022-04-30,532206
2022-05-01,527933
2022-05-02,540011
2022-05-03,531400
2022-05-04,504047
2022-05-05,526935
2022-05-06,526760
2022-05-07,522793
2022-05-08,518705
2022-05-09,525063
2022-05-10,150199
2022-05-11,112312
2022-05-12,522779
2022-05-13,521824
2022-05-14,174054
2022-05-17,35129
2022-05-18,526647
2022-05-19,370759
2022-05-20,311884
2022-05-21,539000
2022-05-22,556520
2022-05-23,155932
2022-05-24,162344
2022-05-25,552538
2022-05-26,530930
2022-05-27,518113
2022-05-28,516158
2022-05-29,421140
2022-05-30,508105
2022-05-31,208537
2022-06-01,220863
2022-06-02,519807
2022-06-03,515036
2022-06-04,516513
2022-06-05,193572
2022-06-06,166321
2022-06-07,308178
2022-06-08,218818
2022-06-09,523598
2022-06-10,522964
2022-06-11,520014
2022-06-12,529247
2022-06-13,529890
2022-06-14,526161
2022-06-15,525828
2022-06-16,526715
2022-06-17,522537
2022-06-18,523637
2022-06-19,490452
2022-06-20,423805
2022-06-21,492193
2022-06-22,466612
2022-06-23,317550
2022-06-24,422610
2022-06-25,515749
2022-06-26,541356
2022-06-27,540524
2022-06-28,553233
2022-06-29,560182
2022-06-30,565096
2022-07-01,565039
2022-07-02,568151
2022-07-03,558237
2022-07-04,560925
2022-07-05,747995
2022-07-06,583207
2022-07-07,553430
2022-07-08,555893
2022-07-09,560119
2022-07-10,565365
2022-07-11,561888
2022-07-12,558338
2022-07-13,536195
2022-07-14,564945
2022-07-15,565134
2022-07-16,568396
2022-07-17,571427
2022-07-18,571986
2022-07-19,568775
2022-07-20,570739
2022-07-21,572916
2022-07-22,577410
2022-07-23,582605
2022-07-24,586164
2022-07-25,586328
2022-07-26,467964
2022-07-27,584562
2022-07-28,579576
2022-07-29,600298
2022-07-30,600259
2022-07-31,566026
2022-08-01,546630
2022-08-02,536089
2022-08-03,536958
2022-08-04,550917
2022-08-05,341788
2022-08-06,488707
2022-08-07,562960
2022-08-08,544699
2022-08-09,349907
2022-08-10,460174
2022-08-11,545594
2022-08-12,586583
2022-08-13,583455
2022-08-14,570189
2022-08-15,560218
2022-08-16,530910
2022-08-17,535597
2022-08-18,527250
2022-08-19,228933
2022-08-20,558201
2022-08-21,527927
2022-08-22,520538
2022-08-23,517765
2022-08-24,493540
2022-08-25,481849
2022-08-26,489101
2022-08-27,549904
2022-08-28,386886
2022-08-29,14443
2022-08-30,437168
2022-08-31,380383
2022-09-01,421031
2022-09-02,509038
2022-09-03,540172
2022-09-04,524086
2022-09-05,504924
2022-09-06,497467
2022-09-07,490757
2022-09-08,431958
2022-09-09,505305
2022-09-10,506687
2022-09-11,498552
2022-09-12,456091
2022-09-13,471013
2022-09-14,537809
2022-09-15,569229
2022-09-16,553717
2022-09-17,535994
2022-09-18,540926
2022-09-19,427098
2022-09-20,47960
2022-09-21,576085
2022-09-22,497579
2022-09-23,486296
2022-09-24,495940
2022-09-25,495300
2022-09-26,484688
2022-09-27,484565
2022-09-28,470426
2022-09-29,456606
2022-09-30,510187
2022-10-01,508871
2022-10-02,504517
2022-10-03,494536
2022-10-04,464994
2022-10-05,397816
